                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.77585,                0.79681,                0.47677,                 1.0435,                0.91944,                0.91948,                0.95546,                0.72286,                0.88644,                 0.8851,                0.90759,                0.61617,                0.71293,                0.74215,                0.45292,                0.96939,              0.0006725,              0.0006725,              0.0006725
                     72,                0.76781,                 0.7753,                0.47293,                 1.0399,                0.90985,                0.93984,                0.95671,                0.73624,                0.91146,                 0.8831,                0.93222,                0.62514,                0.71093,                 0.7432,                0.44142,                0.97162,             0.00066425,             0.00066425,             0.00066425
                     73,                0.78275,                0.79742,                0.48261,                  1.049,                0.92443,                0.92768,                0.95455,                0.73243,                0.91634,                0.90506,                0.93725,                0.64055,                0.70027,                0.73217,                0.44919,                0.97239,               0.000656,               0.000656,               0.000656
                     74,                 0.7811,                0.80293,                0.48189,                 1.0516,                0.92308,                0.91755,                0.95616,                0.73003,                0.91958,                0.89931,                 0.9381,                0.64472,                0.71804,                0.74566,                0.45145,                0.98142,             0.00064775,             0.00064775,             0.00064775
                     75,                 0.7798,                0.79379,                 0.4806,                 1.0481,                0.92965,                0.92632,                0.95499,                0.72919,                0.91423,                0.89736,                0.92759,                0.63712,                0.71721,                0.74711,                0.44517,                0.97561,              0.0006395,              0.0006395,              0.0006395
                     76,                0.77156,                0.78511,                0.47525,                 1.0464,                0.92923,                0.93342,                 0.9551,                0.73178,                0.91924,                0.90673,                0.94137,                0.63776,                0.71582,                0.73174,                0.44722,                0.97538,             0.00063125,             0.00063125,             0.00063125
                     77,                0.76822,                0.79207,                  0.473,                  1.045,                 0.9366,                0.91737,                0.95852,                0.73095,                0.91576,                0.88996,                 0.9302,                  0.634,                0.72545,                0.74048,                 0.4547,                0.98115,               0.000623,               0.000623,               0.000623
                     78,                0.77146,                0.78337,                0.47741,                 1.0419,                0.93359,                0.91948,                0.95721,                0.73766,                0.92387,                0.89457,                0.93998,                0.63147,                0.70426,                0.73135,                0.44573,                0.97322,             0.00061475,             0.00061475,             0.00061475
                     79,                0.76203,                 0.7827,                 0.4715,                 1.0428,                0.92051,                 0.9262,                0.96012,                 0.7348,                0.90799,                   0.89,                0.93327,                0.64232,                0.71462,                0.73648,                0.44533,                0.97861,              0.0006065,              0.0006065,              0.0006065
                     80,                0.76313,                0.78007,                0.46988,                 1.0394,                0.93456,                0.91038,                0.96228,                0.74525,                0.91165,                0.88393,                0.93388,                0.64547,                0.69207,                0.72804,                0.43742,                0.96612,             0.00059825,             0.00059825,             0.00059825
                     81,                0.76681,                0.78698,                0.47024,                 1.0407,                0.93684,                0.92186,                0.95809,                 0.7411,                0.90929,                0.90847,                0.93728,                0.64612,                0.70035,                0.71622,                0.44575,                0.97069,                0.00059,                0.00059,                0.00059
                     82,                0.75124,                0.77563,                0.46138,                  1.031,                0.92873,                0.92036,                0.95962,                0.74306,                0.91134,                 0.8769,                0.92803,                0.64632,                0.68848,                0.72397,                0.43165,                0.96582,             0.00058175,             0.00058175,             0.00058175
                     83,                0.75456,                0.77461,                 0.4599,                 1.0384,                0.90836,                0.93226,                0.95609,                 0.7409,                0.91161,                0.88345,                0.92327,                0.64614,                0.69797,                0.73526,                0.43653,                0.96591,              0.0005735,              0.0005735,              0.0005735
